DriverNumber,Abbreviation_Race,TeamName_Race,Position_Qualifying,GridPosition_Race,Q1,Q2,Q3,Qualifying_AvgLapTime,Race_AvgLapTime,AvgSpeed,MaxSpeed,AvgThrottle,AvgBrake,AvgRPM,MaxRPM,AvgGear,OnTrack%,Qualifying_AirTemp,Qualifying_Humidity,Qualifying_TrackTemp,Race_AirTemp,Race_Humidity,Race_TrackTemp,EventName,EventYear,RacePosition
77,BOT,Mercedes,1.0,1.0,92.658,91.728,91.547,107.5048,98.80182142857143,205.71844660194174,333.0,66.89042995839112,0.18446601941747573,9836.628293143396,12455.0,5.24414313910581,99.89262897943844,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,2.0
44,HAM,Mercedes,2.0,2.0,93.115,91.637,91.57,107.7746,98.68482142857144,203.9903846153846,323.0,66.69917582417582,0.15796703296703296,9724.279350487564,12753.0,5.334120881481163,99.89787691480785,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,1.0
5,VET,Ferrari,3.0,3.0,93.557,92.232,91.848,106.09281818181817,98.93025,206.38826815642457,331.0,67.74441340782123,0.19134078212290503,9810.719446348989,12535.0,5.2842817963661295,99.89276714385288,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,3.0
16,LEC,Ferrari,4.0,4.0,92.712,92.324,91.865,107.2349090909091,99.24332142857143,205.68377253814148,329.0,67.95977808599167,0.17337031900138697,9659.723579666808,12306.0,5.324946604015378,99.89310529128808,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,5.0
33,VER,Red Bull Racing,5.0,5.0,93.274,92.369,92.089,109.02366666666667,99.17816071428571,203.64520547945204,332.0,64.32876712328768,0.18082191780821918,9981.014020089762,12746.0,5.108741184013678,99.88768852283667,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,4.0
10,GAS,Red Bull Racing,6.0,6.0,93.863,92.948,92.93,109.74244444444444,100.2795892857143,206.4874651810585,324.0,67.77576601671309,0.1532033426183844,9878.061934556523,12673.0,5.080705166145261,99.88362866966412,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,6.0
3,RIC,Renault,7.0,7.0,93.709,93.214,92.958,107.40191666666668,100.71627272727274,198.07047872340425,315.0,64.8936170212766,0.12898936170212766,10270.619251703596,12176.0,4.52637894827069,99.88203120810766,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,7.0
27,HUL,Renault,8.0,8.0,93.644,93.968,92.962,109.15450000000001,104.37075,195.41743725231177,338.0,61.33421400264201,0.18890356671070013,9973.362576425423,12272.0,4.4670837480449315,99.60868018498755,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,20.0
20,MAG,Haas F1 Team,9.0,9.0,94.036,93.15,999.0,112.27069999999999,101.25772727272728,200.5557083906465,340.0,64.38239339752407,0.171939477303989,9741.144343081252,12231.0,5.176443004518714,99.87732679076218,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,13.0
8,GRO,Haas F1 Team,10.0,10.0,93.752,93.156,999.0,113.01988888888889,101.12136363636364,202.58775510204083,330.0,63.375510204081635,0.1673469387755102,9898.84112348999,12754.0,5.085371579801084,99.87716299935911,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,11.0
26,KVY,Toro Rosso,11.0,11.0,93.783,93.236,999.0,106.40875,103.00670731707316,199.32975871313673,336.0,63.35120643431635,0.1863270777479893,10113.945877592312,12790.0,4.723205755072219,99.8311998874666,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,19.0
11,PER,Racing Point,12.0,12.0,94.026,93.299,999.0,107.24199999999999,100.75241818181817,196.99064171122996,324.0,62.29545454545455,0.1858288770053476,9859.668651728718,13140.0,5.014352427059681,99.87134816403109,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,8.0
7,RAI,Alfa Romeo Racing,13.0,13.0,94.125,93.419,999.0,108.53275,100.87389090909092,200.04032258064515,339.0,63.276881720430104,0.20026881720430106,9997.74200864393,12992.0,4.967435491463049,99.86615269300782,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,9.0
55,SAI,McLaren,14.0,14.0,93.686,93.523,999.0,108.545625,101.43816363636364,199.91228070175438,327.0,64.83265856950068,0.1767881241565452,9830.90314893617,12073.0,5.0651063829787235,99.86689383452241,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,14.0
4,NOR,McLaren,15.0,15.0,94.148,93.967,999.0,107.47274999999999,103.0186,198.3124165554072,332.0,61.01602136181575,0.1602136181575434,9931.707761083971,12235.0,4.920914369988017,99.85006631682141,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,18.0
18,STR,Racing Point,16.0,16.0,94.292,999.0,999.0,103.44550000000001,101.24172727272727,202.44822888283377,334.0,64.28610354223433,0.18119891008174388,9987.420312100281,13190.0,4.93370000852733,99.86663821615278,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,12.0
63,RUS,Williams,17.0,17.0,95.253,999.0,999.0,106.71366666666665,102.7936111111111,200.7940379403794,326.0,66.8780487804878,0.16124661246612465,9859.290950303652,12534.0,4.8057052433495855,99.86086584256435,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,16.0
88,KUB,Williams,18.0,18.0,95.281,999.0,999.0,104.652,103.09109259259259,195.532279314888,324.0,64.92885375494072,0.18050065876152832,9905.068580202158,12510.0,4.744828762741502,99.86125933831377,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,17.0
23,ALB,Toro Rosso,0.0,0.0,999.0,999.0,999.0,0.0,101.10281818181818,197.62082777036048,340.0,63.37650200267023,0.17222963951935916,9869.881516587679,12623.0,4.9824089492335935,99.81836636572467,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,10.0
99,GIO,Alfa Romeo Racing,0.0,19.0,999.0,999.0,999.0,136.522,101.49327272727272,199.4364123159304,330.0,64.1285140562249,0.214190093708166,9815.931694453895,13126.0,5.059458999659748,99.85632948438248,20.54208333333333,48.54458333333334,33.61291666666662,19.33336520076481,46.23422562141486,26.63556405353727,Chinese Grand Prix,2019,15.0
77,BOT,Mercedes,1.0,1.0,102.026,101.5,100.495,111.19553846153848,108.09690196078431,205.92564102564103,344.0,70.85,0.17692307692307693,10090.771562182908,12950.0,5.092072175409185,99.87068965517241,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,1.0
44,HAM,Mercedes,2.0,2.0,101.614,101.58,100.554,113.04385714285715,108.1267843137255,206.08485639686685,345.0,70.36553524804178,0.1906005221932115,9993.844572839942,12839.0,5.124729854893485,99.8707244815513,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,2.0
5,VET,Ferrari,3.0,3.0,102.042,101.889,100.797,112.8296875,108.32707843137254,205.63870967741934,337.0,66.65935483870967,0.19741935483870968,10001.65833149901,12433.0,5.165485362095532,99.86021505376344,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,3.0
33,VER,Red Bull Racing,4.0,4.0,101.727,101.388,101.069,113.24069999999999,108.43990196078433,204.93519695044472,344.0,65.91994917407878,0.19567979669631513,9946.231496547782,12483.0,5.133822947359163,99.85498684139857,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,4.0
11,PER,Racing Point,5.0,5.0,102.249,101.87,101.593,112.47836363636362,109.59525490196079,203.84741488020177,339.0,67.28625472887768,0.2080706179066835,10085.443844915364,13016.0,4.962969409512206,99.86184175567246,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,6.0
26,KVY,Toro Rosso,6.0,6.0,102.324,102.221,101.681,114.67541176470588,111.86469696969696,199.615099009901,343.0,66.8230198019802,0.1967821782178218,9925.775120247743,13018.0,4.981155696119128,99.77470228516253,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,19.0
4,NOR,McLaren,7.0,7.0,102.371,102.084,101.886,116.04147058823528,109.24402,204.00632911392404,343.0,67.65189873417721,0.19240506329113924,10324.39821474998,12316.0,4.837767570846694,99.85184401291075,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,8.0
99,GIO,Alfa Romeo Racing,8.0,17.0,102.14,102.381,102.424,116.15028571428572,110.66784,203.04219948849104,349.0,67.06649616368287,0.2186700767263427,9970.856056610408,12810.0,4.976221870604782,99.81748886145257,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,12.0
16,LEC,Ferrari,9.0,8.0,101.426,101.995,999.0,111.824375,109.45194117647058,209.20336787564767,345.0,70.65544041450777,0.20466321243523317,9870.415842446952,12533.0,5.141344603720971,99.84037458763436,16.113268608414227,71.11585760517796,32.98770226537217,19.487447257383923,52.8246835443038,38.8666666666666,Azerbaijan Grand Prix,2019,5.0
